rule,antecedent_human,consequent_human,support,confidence,lift,support_count_xy,support_count_x,support_count_y
spaghetti + turkey + mineral water → milk,spaghetti + turkey + mineral water,milk,0.002666,0.416667,3.215449,20,48,972
cooking oil + frozen vegetables → milk,cooking oil + frozen vegetables,milk,0.002800,0.411765,3.177620,21,51,972
eggs + frozen vegetables + mineral water → milk,eggs + frozen vegetables + mineral water,milk,0.003733,0.411765,3.177620,28,68,972
tomato sauce + chocolate → spaghetti,tomato sauce + chocolate,spaghetti,0.002800,0.552632,3.174035,21,38,1306
ground beef + soup → milk,ground beef + soup,milk,0.003999,0.410959,3.171402,30,73,972
chocolate + frozen vegetables + mineral water → milk,chocolate + frozen vegetables + mineral water,milk,0.003999,0.410959,3.171402,30,73,972
chicken + ground beef → milk,chicken + ground beef,milk,0.003866,0.408451,3.152046,29,71,972
frozen vegetables + ground beef + mineral water → milk,frozen vegetables + ground beef + mineral water,milk,0.003733,0.405797,3.131568,28,69,972
olive oil + soup → milk,olive oil + soup,milk,0.003600,0.402985,3.109867,27,67,972
spaghetti + cereals → milk,spaghetti + cereals,milk,0.002666,0.400000,3.086831,20,50,972
chicken + frozen smoothie → milk,chicken + frozen smoothie,milk,0.002666,0.400000,3.086831,20,50,972
burgers + chocolate + milk → spaghetti,burgers + chocolate + milk,spaghetti,0.002933,0.536585,3.081874,22,41,1306
chocolate + frozen vegetables + ground beef → spaghetti,chocolate + frozen vegetables + ground beef,spaghetti,0.003066,0.534884,3.072100,23,43,1306
frozen vegetables + ground beef + milk → spaghetti,frozen vegetables + ground beef + milk,spaghetti,0.003066,0.534884,3.072100,23,43,1306
eggs + red wine → spaghetti,eggs + red wine,spaghetti,0.003733,0.528302,3.034297,28,53,1306
herb & pepper + olive oil → spaghetti,herb & pepper + olive oil,spaghetti,0.002666,0.526316,3.022890,20,38,1306
french fries + ground beef + mineral water → spaghetti,french fries + ground beef + mineral water,spaghetti,0.002800,0.525000,3.015333,21,40,1306
ground beef + shrimp → spaghetti,ground beef + shrimp,spaghetti,0.005999,0.523256,3.005315,45,86,1306
tomatoes + frozen vegetables + mineral water → spaghetti,tomatoes + frozen vegetables + mineral water,spaghetti,0.003066,0.522727,3.002280,23,44,1306
frozen smoothie + milk + mineral water → spaghetti,frozen smoothie + milk + mineral water,spaghetti,0.003200,0.521739,2.996604,24,46,1306
eggs + milk + olive oil → mineral water,eggs + milk + olive oil,mineral water,0.002666,0.714286,2.996564,20,28,1788
spaghetti + cooking oil + eggs → mineral water,spaghetti + cooking oil + eggs,mineral water,0.002933,0.709677,2.977232,22,31,1788
frozen vegetables + ground beef → spaghetti,frozen vegetables + ground beef,spaghetti,0.008666,0.511811,2.939582,65,127,1306
chocolate + frozen vegetables + olive oil → mineral water,chocolate + frozen vegetables + olive oil,mineral water,0.002800,0.700000,2.936633,21,30,1788
tomatoes + whole wheat rice → spaghetti,tomatoes + whole wheat rice,spaghetti,0.003066,0.511111,2.935562,23,45,1306
ground beef + pepper → spaghetti,ground beef + pepper,spaghetti,0.003333,0.510204,2.930353,25,49,1306
tomatoes + milk + mineral water → spaghetti,tomatoes + milk + mineral water,spaghetti,0.003333,0.510204,2.930353,25,49,1306
frozen vegetables + milk + olive oil → mineral water,frozen vegetables + milk + olive oil,mineral water,0.003333,0.694444,2.913326,25,36,1788
chicken + ground beef → spaghetti,chicken + ground beef,spaghetti,0.004799,0.507042,2.912193,36,71,1306
frozen vegetables + olive oil → spaghetti,frozen vegetables + olive oil,spaghetti,0.005733,0.505882,2.905531,43,85,1306
turkey + olive oil → spaghetti,turkey + olive oil,spaghetti,0.002666,0.500000,2.871746,20,40,1306
eggs + ground beef + milk → spaghetti,eggs + ground beef + milk,spaghetti,0.002933,0.500000,2.871746,22,44,1306
frozen vegetables + ground beef + milk → chocolate,frozen vegetables + ground beef + milk,chocolate,0.002666,0.465116,2.838761,20,43,1229
herb & pepper + pancakes → spaghetti,herb & pepper + pancakes,spaghetti,0.003600,0.490909,2.819532,27,55,1306
eggs + french wine → spaghetti,eggs + french wine,spaghetti,0.002933,0.488889,2.807929,22,45,1306
burgers + chocolate + eggs → spaghetti,burgers + chocolate + eggs,spaghetti,0.002666,0.487805,2.801703,20,41,1306
spaghetti + burgers + milk → chocolate,spaghetti + burgers + milk,chocolate,0.002933,0.458333,2.797362,22,48,1229
strong cheese → spaghetti,strong cheese,spaghetti,0.003733,0.482759,2.772720,28,58,1306
chicken + olive oil → spaghetti,chicken + olive oil,spaghetti,0.003466,0.481481,2.765385,26,54,1306
chocolate + ground beef + milk → spaghetti,chocolate + ground beef + milk,spaghetti,0.002933,0.478261,2.746887,22,46,1306
frozen vegetables + ground beef + mineral water → spaghetti,frozen vegetables + ground beef + mineral water,spaghetti,0.004399,0.478261,2.746887,33,69,1306
tomatoes + ground beef → spaghetti,tomatoes + ground beef,spaghetti,0.005599,0.477273,2.741212,42,88,1306
frozen vegetables + ground beef + milk → mineral water,frozen vegetables + ground beef + milk,mineral water,0.003733,0.651163,2.731752,28,43,1788
spaghetti + tomato sauce → chocolate,spaghetti + tomato sauce,chocolate,0.002800,0.446809,2.727022,21,47,1229
frozen vegetables + mineral water + shrimp → chocolate,frozen vegetables + mineral water + shrimp,chocolate,0.003200,0.444444,2.712594,24,54,1229
eggs + grated cheese → spaghetti,eggs + grated cheese,spaghetti,0.004266,0.470588,2.702820,32,68,1306
grated cheese + ground beef → spaghetti,grated cheese + ground beef,spaghetti,0.005333,0.470588,2.702820,40,85,1306
cake + olive oil → spaghetti,cake + olive oil,spaghetti,0.003066,0.469388,2.695925,23,49,1306
grated cheese + herb & pepper → spaghetti,grated cheese + herb & pepper,spaghetti,0.003066,0.469388,2.695925,23,49,1306
chocolate + eggs + ground beef → spaghetti,chocolate + eggs + ground beef,spaghetti,0.003066,0.469388,2.695925,23,49,1306
olive oil + pancakes → spaghetti,olive oil + pancakes,spaghetti,0.005066,0.469136,2.694478,38,81,1306
chocolate + mineral water + olive oil → spaghetti,chocolate + mineral water + olive oil,spaghetti,0.003866,0.467742,2.686472,29,62,1306
frozen vegetables + mineral water + shrimp → spaghetti,frozen vegetables + mineral water + shrimp,spaghetti,0.003333,0.462963,2.659024,25,54,1306
frozen vegetables + soup → mineral water,frozen vegetables + soup,mineral water,0.005066,0.633333,2.656954,38,60,1788
butter + french fries → chocolate,butter + french fries,chocolate,0.002666,0.434783,2.653624,20,46,1229
burgers + cookies → eggs,burgers + cookies,eggs,0.002666,0.476190,2.649781,20,42,1348
french fries + ham → eggs,french fries + ham,eggs,0.002666,0.476190,2.649781,20,42,1348
ground beef + mineral water + olive oil → spaghetti,ground beef + mineral water + olive oil,spaghetti,0.003066,0.460000,2.642006,23,50,1306
cake + ground beef → spaghetti,cake + ground beef,spaghetti,0.003733,0.459016,2.636357,28,61,1306
tomatoes + chicken → spaghetti,tomatoes + chicken,spaghetti,0.002933,0.458333,2.632434,22,48,1306
cooking oil + eggs + mineral water → spaghetti,cooking oil + eggs + mineral water,spaghetti,0.002933,0.458333,2.632434,22,48,1306
pancakes + soup → mineral water,pancakes + soup,mineral water,0.004266,0.627451,2.632276,32,51,1788
grated cheese + milk → spaghetti,grated cheese + milk,spaghetti,0.003600,0.457627,2.628378,27,59,1306
chocolate + mineral water + shrimp → spaghetti,chocolate + mineral water + shrimp,spaghetti,0.003466,0.456140,2.619838,26,57,1306
burgers + ground beef → spaghetti,burgers + ground beef,spaghetti,0.005466,0.455556,2.616479,41,90,1306
cake + olive oil → chocolate,cake + olive oil,chocolate,0.002800,0.428571,2.615715,21,49,1229
frozen vegetables + mineral water + olive oil → chocolate,frozen vegetables + mineral water + olive oil,chocolate,0.002800,0.428571,2.615715,21,49,1229
escalope + pancakes → spaghetti,escalope + pancakes,spaghetti,0.002666,0.454545,2.610678,20,44,1306
herb & pepper + low fat yogurt → spaghetti,herb & pepper + low fat yogurt,spaghetti,0.002666,0.454545,2.610678,20,44,1306
spaghetti + milk + shrimp → mineral water,spaghetti + milk + shrimp,mineral water,0.003066,0.621622,2.607821,23,37,1788
green tea + olive oil → spaghetti,green tea + olive oil,spaghetti,0.004533,0.453333,2.603716,34,75,1306
frozen vegetables + soup → spaghetti,frozen vegetables + soup,spaghetti,0.003600,0.450000,2.584571,27,60,1306
tomatoes + turkey → spaghetti,tomatoes + turkey,spaghetti,0.002933,0.448980,2.578711,22,49,1306
chocolate + eggs + ground beef → mineral water,chocolate + eggs + ground beef,mineral water,0.003999,0.612245,2.568484,30,49,1788
turkey + cake → eggs,turkey + cake,eggs,0.003200,0.461538,2.568249,24,52,1348
chicken + shrimp → spaghetti,chicken + shrimp,spaghetti,0.002800,0.446809,2.566241,21,47,1306
chocolate + ham → spaghetti,chocolate + ham,spaghetti,0.002800,0.446809,2.566241,21,47,1306
eggs + ground beef → spaghetti,eggs + ground beef,spaghetti,0.008932,0.446667,2.565426,67,150,1306
avocado + milk → spaghetti,avocado + milk,spaghetti,0.003333,0.446429,2.564059,25,56,1306
spaghetti + frozen vegetables + milk → chocolate,spaghetti + frozen vegetables + milk,chocolate,0.003466,0.419355,2.559464,26,62,1229
chicken + soup → spaghetti,chicken + soup,spaghetti,0.002666,0.444444,2.552663,20,45,1306
tomato sauce → spaghetti,tomato sauce,spaghetti,0.006266,0.443396,2.546642,47,106,1306
eggs + frozen vegetables + ground beef → mineral water,eggs + frozen vegetables + ground beef,mineral water,0.002666,0.606061,2.542539,20,33,1788
olive oil + shrimp → spaghetti,olive oil + shrimp,spaghetti,0.003600,0.442623,2.542201,27,61,1306
ground beef + milk → spaghetti,ground beef + milk,spaghetti,0.009732,0.442424,2.541060,73,165,1306
grated cheese + pancakes → spaghetti,grated cheese + pancakes,spaghetti,0.003066,0.442308,2.540391,23,52,1306
eggs + french fries + mineral water → spaghetti,eggs + french fries + mineral water,spaghetti,0.003066,0.442308,2.540391,23,52,1306
ground beef + pancakes → spaghetti,ground beef + pancakes,spaghetti,0.006399,0.440367,2.529244,48,109,1306
spaghetti + light cream → mineral water,spaghetti + light cream,mineral water,0.003200,0.600000,2.517114,24,40,1788
chocolate + frozen vegetables + shrimp → mineral water,chocolate + frozen vegetables + shrimp,mineral water,0.003200,0.600000,2.517114,24,40,1788
frozen vegetables + milk + shrimp → mineral water,frozen vegetables + milk + shrimp,mineral water,0.002800,0.600000,2.517114,21,35,1788
burgers + olive oil → spaghetti,burgers + olive oil,spaghetti,0.002800,0.437500,2.512778,21,48,1306
light cream + mineral water → spaghetti,light cream + mineral water,spaghetti,0.003200,0.436364,2.506251,24,55,1306
whole wheat rice + pancakes → mineral water,whole wheat rice + pancakes,mineral water,0.004133,0.596154,2.500979,31,52,1788
turkey + milk + mineral water → spaghetti,turkey + milk + mineral water,spaghetti,0.002666,0.434783,2.497170,20,46,1306
ground beef + olive oil → spaghetti,ground beef + olive oil,spaghetti,0.006133,0.433962,2.492459,46,106,1306
eggs + ham → french fries,eggs + ham,french fries,0.002666,0.425532,2.489793,20,47,1282
chocolate + frozen vegetables + milk → spaghetti,chocolate + frozen vegetables + milk,spaghetti,0.003466,0.433333,2.488846,26,60,1306
cooking oil + pancakes → mineral water,cooking oil + pancakes,mineral water,0.004666,0.593220,2.488672,35,59,1788
ground beef + salmon → spaghetti,ground beef + salmon,spaghetti,0.003866,0.432836,2.485989,29,67,1306
green tea + ground beef → spaghetti,green tea + ground beef,spaghetti,0.006399,0.432432,2.483672,48,111,1306
spaghetti + mineral water + shrimp → chocolate,spaghetti + mineral water + shrimp,chocolate,0.003466,0.406250,2.479480,26,64,1229
pancakes + soup → spaghetti,pancakes + soup,spaghetti,0.002933,0.431373,2.477585,22,51,1306
chocolate + olive oil → spaghetti,chocolate + olive oil,spaghetti,0.007066,0.430894,2.474838,53,123,1306
tomatoes + frozen smoothie → spaghetti,tomatoes + frozen smoothie,spaghetti,0.002800,0.428571,2.461496,21,49,1306
frozen vegetables + mineral water + olive oil → spaghetti,frozen vegetables + mineral water + olive oil,spaghetti,0.002800,0.428571,2.461496,21,49,1306
ground beef + red wine → mineral water,ground beef + red wine,mineral water,0.002800,0.583333,2.447194,21,36,1788
eggs + ham → spaghetti,eggs + ham,spaghetti,0.002666,0.425532,2.444039,20,47,1306
olive oil + soup → mineral water,olive oil + soup,mineral water,0.005199,0.582090,2.441976,39,67,1788
chocolate + frozen vegetables + ground beef → mineral water,chocolate + frozen vegetables + ground beef,mineral water,0.003333,0.581395,2.439064,25,43,1788
chocolate + frozen vegetables + mineral water → spaghetti,chocolate + frozen vegetables + mineral water,spaghetti,0.004133,0.424658,2.439017,31,73,1306
turkey + milk → spaghetti,turkey + milk,spaghetti,0.004799,0.423529,2.432538,36,85,1306
eggs + olive oil → spaghetti,eggs + olive oil,spaghetti,0.005066,0.422222,2.425030,38,90,1306
milk + olive oil → spaghetti,milk + olive oil,spaghetti,0.007199,0.421875,2.423036,54,128,1306
frozen vegetables + olive oil → mineral water,frozen vegetables + olive oil,mineral water,0.006532,0.576471,2.418404,49,85,1788
ground beef + herb & pepper + mineral water → spaghetti,ground beef + herb & pepper + mineral water,spaghetti,0.002800,0.420000,2.412266,21,50,1306
tomatoes + olive oil → mineral water,tomatoes + olive oil,mineral water,0.004133,0.574074,2.408350,31,54,1788
tomatoes + milk → spaghetti,tomatoes + milk,spaghetti,0.005866,0.419048,2.406796,44,105,1306
burgers + pancakes → spaghetti,burgers + pancakes,spaghetti,0.004399,0.417722,2.399180,33,79,1306
spaghetti + frozen smoothie + milk → mineral water,spaghetti + frozen smoothie + milk,mineral water,0.003200,0.571429,2.397252,24,42,1788
ground beef + mineral water → spaghetti,ground beef + mineral water,spaghetti,0.017064,0.416938,2.394681,128,307,1306
ground beef + low fat yogurt → spaghetti,ground beef + low fat yogurt,spaghetti,0.003999,0.416667,2.393121,30,72,1306
spaghetti + tomatoes + milk → mineral water,spaghetti + tomatoes + milk,mineral water,0.003333,0.568182,2.383631,25,44,1788
eggs + ground beef + milk → mineral water,eggs + ground beef + milk,mineral water,0.003333,0.568182,2.383631,25,44,1788
french wine + milk → mineral water,french wine + milk,mineral water,0.002800,0.567568,2.381054,21,37,1788
frozen smoothie + frozen vegetables → spaghetti,frozen smoothie + frozen vegetables,spaghetti,0.004133,0.413333,2.373977,31,75,1306
tomatoes + frozen vegetables → spaghetti,tomatoes + frozen vegetables,spaghetti,0.006666,0.413223,2.373344,50,121,1306
tomatoes + cake → spaghetti,tomatoes + cake,spaghetti,0.003466,0.412698,2.370330,26,63,1306
ground beef + mineral water + pancakes → spaghetti,ground beef + mineral water + pancakes,spaghetti,0.003066,0.410714,2.358934,23,56,1306
milk + soup → mineral water,milk + soup,mineral water,0.008532,0.561404,2.355194,64,114,1788
frozen vegetables + milk + mineral water → spaghetti,frozen vegetables + milk + mineral water,spaghetti,0.004533,0.409639,2.352756,34,83,1306
olive oil + shrimp → mineral water,olive oil + shrimp,mineral water,0.004533,0.557377,2.338303,34,61,1788
grated cheese + green tea → spaghetti,grated cheese + green tea,spaghetti,0.003200,0.406780,2.336336,24,59,1306
ham + mineral water → spaghetti,ham + mineral water,spaghetti,0.003733,0.405797,2.330692,28,69,1306
hot dogs + mineral water → spaghetti,hot dogs + mineral water,spaghetti,0.003733,0.405797,2.330692,28,69,1306
spaghetti + turkey + milk → mineral water,spaghetti + turkey + milk,mineral water,0.002666,0.555556,2.330661,20,36,1788
spaghetti + frozen vegetables + shrimp → mineral water,spaghetti + frozen vegetables + shrimp,mineral water,0.003333,0.555556,2.330661,25,45,1788
whole wheat pasta + milk → spaghetti,whole wheat pasta + milk,spaghetti,0.003999,0.405405,2.328443,30,74,1306
french fries + ground beef → spaghetti,french fries + ground beef,spaghetti,0.005599,0.403846,2.319487,42,104,1306
spaghetti + burgers + chocolate → eggs,spaghetti + burgers + chocolate,eggs,0.002666,0.416667,2.318558,20,48,1348
spaghetti + french fries + milk → eggs,spaghetti + french fries + milk,eggs,0.002666,0.416667,2.318558,20,48,1348
chocolate + soup → mineral water,chocolate + soup,mineral water,0.005599,0.552632,2.318395,42,76,1788
spaghetti + olive oil + pancakes → mineral water,spaghetti + olive oil + pancakes,mineral water,0.002800,0.552632,2.318395,21,38,1788
frozen smoothie + ground beef → spaghetti,frozen smoothie + ground beef,spaghetti,0.003066,0.403509,2.317549,23,57,1306
escalope + ground beef → spaghetti,escalope + ground beef,spaghetti,0.003333,0.403226,2.315924,25,62,1306
french wine + mineral water → spaghetti,french wine + mineral water,spaghetti,0.003333,0.403226,2.315924,25,62,1306
spaghetti + chocolate + pancakes → mineral water,spaghetti + chocolate + pancakes,mineral water,0.003733,0.549020,2.303242,28,51,1788
spaghetti + frozen vegetables + milk → mineral water,spaghetti + frozen vegetables + milk,mineral water,0.004533,0.548387,2.300588,34,62,1788
green beans → spaghetti,green beans,spaghetti,0.003466,0.400000,2.297397,26,65,1306
burgers + low fat yogurt → spaghetti,burgers + low fat yogurt,spaghetti,0.002666,0.400000,2.297397,20,50,1306
ground beef + herb & pepper → spaghetti,ground beef + herb & pepper,spaghetti,0.006399,0.400000,2.297397,48,120,1306
chicken + milk + mineral water → spaghetti,chicken + milk + mineral water,spaghetti,0.002666,0.400000,2.297397,20,50,1306
chocolate + mineral water + pancakes → spaghetti,chocolate + mineral water + pancakes,spaghetti,0.003733,0.400000,2.297397,28,70,1306
spaghetti + tomatoes + ground beef → mineral water,spaghetti + tomatoes + ground beef,mineral water,0.003066,0.547619,2.297366,23,42,1788
spaghetti + chocolate + olive oil → mineral water,spaghetti + chocolate + olive oil,mineral water,0.003866,0.547170,2.295481,29,53,1788
burgers + french fries → eggs,burgers + french fries,eggs,0.009065,0.412121,2.293265,68,165,1348
cooking oil + eggs → mineral water,cooking oil + eggs,mineral water,0.006399,0.545455,2.288286,48,88,1788
eggs + soup → mineral water,eggs + soup,mineral water,0.004933,0.544118,2.282677,37,68,1788
chocolate + ground beef + milk → mineral water,chocolate + ground beef + milk,mineral water,0.003333,0.543478,2.279995,25,46,1788
frozen vegetables + ground beef → mineral water,frozen vegetables + ground beef,mineral water,0.009199,0.543307,2.279277,69,127,1788
spaghetti + chocolate + shrimp → mineral water,spaghetti + chocolate + shrimp,mineral water,0.003466,0.541667,2.272395,26,48,1788
turkey + milk → mineral water,turkey + milk,mineral water,0.006133,0.541176,2.270338,46,85,1788
ground beef + ham → mineral water,ground beef + ham,mineral water,0.002666,0.540541,2.267670,20,37,1788
tomatoes + soup → mineral water,tomatoes + soup,mineral water,0.003733,0.538462,2.258949,28,52,1788
cider → eggs,cider,eggs,0.004266,0.405063,2.253991,32,79,1348
chocolate + milk + shrimp → mineral water,chocolate + milk + shrimp,mineral water,0.002933,0.536585,2.251078,22,41,1788
chocolate + eggs + frozen vegetables → mineral water,chocolate + eggs + frozen vegetables,mineral water,0.003066,0.534884,2.243939,23,43,1788
chicken + soup → mineral water,chicken + soup,mineral water,0.003200,0.533333,2.237435,24,45,1788
frozen vegetables + herb & pepper → mineral water,frozen vegetables + herb & pepper,mineral water,0.003200,0.533333,2.237435,24,45,1788
chicken + pancakes → mineral water,chicken + pancakes,mineral water,0.004799,0.529412,2.220983,36,68,1788
spaghetti + rice → mineral water,spaghetti + rice,mineral water,0.002666,0.526316,2.207995,20,38,1788
spaghetti + chocolate + frozen vegetables → mineral water,spaghetti + chocolate + frozen vegetables,mineral water,0.004133,0.525424,2.204252,31,59,1788
spaghetti + soup → mineral water,spaghetti + soup,mineral water,0.007466,0.523364,2.195614,56,107,1788
cake + soup → mineral water,cake + soup,mineral water,0.003200,0.521739,2.188795,24,46,1788
burgers + olive oil → mineral water,burgers + olive oil,mineral water,0.003333,0.520833,2.184995,25,48,1788
ground beef + soup → mineral water,ground beef + soup,mineral water,0.005066,0.520548,2.183798,38,73,1788
spaghetti + cereals → mineral water,spaghetti + cereals,mineral water,0.003466,0.520000,2.181499,26,50,1788
chicken + chocolate → mineral water,chicken + chocolate,mineral water,0.007599,0.518182,2.173871,57,110,1788
escalope + milk → mineral water,escalope + milk,mineral water,0.003999,0.517241,2.169926,30,58,1788
ground beef + pancakes → mineral water,ground beef + pancakes,mineral water,0.007466,0.513761,2.155327,56,109,1788
chicken + fresh bread → mineral water,chicken + fresh bread,mineral water,0.002666,0.512821,2.151380,20,39,1788
chocolate + hot dogs → mineral water,chocolate + hot dogs,mineral water,0.002800,0.512195,2.148756,21,41,1788
spaghetti + eggs + frozen vegetables → mineral water,spaghetti + eggs + frozen vegetables,mineral water,0.002933,0.511628,2.146376,22,43,1788
cereals + milk → mineral water,cereals + milk,mineral water,0.003600,0.509434,2.137172,27,53,1788
eggs + frozen vegetables + milk → mineral water,eggs + frozen vegetables + milk,mineral water,0.003733,0.509091,2.135733,28,55,1788
spaghetti + frozen vegetables + ground beef → mineral water,spaghetti + frozen vegetables + ground beef,mineral water,0.004399,0.507692,2.129866,33,65,1788
eggs + ground beef → mineral water,eggs + ground beef,mineral water,0.010132,0.506667,2.125563,76,150,1788
spaghetti + salmon → mineral water,spaghetti + salmon,mineral water,0.006799,0.504950,2.118363,51,101,1788
chocolate + olive oil → mineral water,chocolate + olive oil,mineral water,0.008266,0.504065,2.114649,62,123,1788
ground beef + milk → mineral water,ground beef + milk,mineral water,0.011065,0.503030,2.110308,83,165,1788
tomato sauce + ground beef → mineral water,tomato sauce + ground beef,mineral water,0.002666,0.500000,2.097595,20,40,1788
tomatoes + chicken → mineral water,tomatoes + chicken,mineral water,0.003200,0.500000,2.097595,24,48,1788
turkey + frozen vegetables → mineral water,turkey + frozen vegetables,mineral water,0.004399,0.500000,2.097595,33,66,1788
cake + frozen smoothie → mineral water,cake + frozen smoothie,mineral water,0.003200,0.500000,2.097595,24,48,1788
chicken + olive oil → mineral water,chicken + olive oil,mineral water,0.003600,0.500000,2.097595,27,54,1788
grated cheese + pancakes → mineral water,grated cheese + pancakes,mineral water,0.003466,0.500000,2.097595,26,52,1788
ground beef + low fat yogurt → mineral water,ground beef + low fat yogurt,mineral water,0.004799,0.500000,2.097595,36,72,1788
milk + olive oil → mineral water,milk + olive oil,mineral water,0.008532,0.500000,2.097595,64,128,1788
spaghetti + french fries + ground beef → mineral water,spaghetti + french fries + ground beef,mineral water,0.002800,0.500000,2.097595,21,42,1788
spaghetti + ground beef + olive oil → mineral water,spaghetti + ground beef + olive oil,mineral water,0.003066,0.500000,2.097595,23,46,1788
chocolate + frozen vegetables + milk → mineral water,chocolate + frozen vegetables + milk,mineral water,0.003999,0.500000,2.097595,30,60,1788
spaghetti + eggs + milk → mineral water,spaghetti + eggs + milk,mineral water,0.004399,0.492537,2.066288,33,67,1788
brownies + eggs → mineral water,brownies + eggs,mineral water,0.003600,0.490909,2.059457,27,55,1788
herb & pepper + pancakes → mineral water,herb & pepper + pancakes,mineral water,0.003600,0.490909,2.059457,27,55,1788
cake + olive oil → mineral water,cake + olive oil,mineral water,0.003200,0.489796,2.054787,24,49,1788
frozen vegetables + salmon → mineral water,frozen vegetables + salmon,mineral water,0.003066,0.489362,2.052965,23,47,1788
eggs + olive oil → mineral water,eggs + olive oil,mineral water,0.005866,0.488889,2.050982,44,90,1788
spaghetti + ground beef + shrimp → mineral water,spaghetti + ground beef + shrimp,mineral water,0.002933,0.488889,2.050982,22,45,1788
spaghetti + frozen vegetables + olive oil → mineral water,spaghetti + frozen vegetables + olive oil,mineral water,0.002800,0.488372,2.048814,21,43,1788
spaghetti + chicken + milk → mineral water,spaghetti + chicken + milk,mineral water,0.002666,0.487805,2.046434,20,41,1788
nonfat milk → mineral water,nonfat milk,mineral water,0.005066,0.487179,2.043811,38,78,1788
