sequence,support_count,support
"<{10},{132}>",35,0.350000
"<{10},{133}>",31,0.310000
"<{10},{143}>",41,0.410000
"<{10},{144}>",30,0.300000
"<{10},{17}>",33,0.330000
"<{10},{18}>",38,0.380000
"<{10},{22}>",33,0.330000
"<{10},{23}>",37,0.370000
"<{10},{245}>",59,0.590000
"<{10},{253}>",58,0.580000
"<{10},{26}>",36,0.360000
"<{10},{27}>",38,0.380000
"<{10},{35}>",32,0.320000
"<{11},{114}>",30,0.300000
"<{11},{117}>",47,0.470000
"<{11},{118}>",31,0.310000
"<{11},{132}>",42,0.420000
"<{11},{133}>",35,0.350000
"<{11},{143}>",45,0.450000
"<{11},{144}>",34,0.340000
"<{11},{17}>",43,0.430000
"<{11},{18}>",45,0.450000
"<{11},{22}>",34,0.340000
"<{11},{23}>",41,0.410000
"<{11},{245}>",61,0.610000
"<{11},{253}>",60,0.600000
"<{11},{26}>",42,0.420000
"<{11},{27}>",43,0.430000
"<{11},{35}>",32,0.320000
"<{11},{46}>",33,0.330000
"<{110},{117}>",34,0.340000
"<{110},{139}>",32,0.320000
"<{110},{143}>",31,0.310000
"<{110},{245}>",37,0.370000
"<{110},{253}>",35,0.350000
"<{113},{117}>",35,0.350000
"<{113},{132}>",37,0.370000
"<{113},{133}>",44,0.440000
"<{113},{143}>",36,0.360000
"<{113},{245}>",49,0.490000
"<{113},{253}>",45,0.450000
"<{114},{117}>",38,0.380000
"<{114},{132}>",36,0.360000
"<{114},{143}>",38,0.380000
"<{114},{144}>",30,0.300000
"<{114},{245}>",48,0.480000
"<{114},{253}>",45,0.450000
"<{117},{118}>",46,0.460000
"<{117},{132}>",53,0.530000
"<{117},{133}>",44,0.440000
"<{117},{139}>",31,0.310000
"<{117},{143}>",61,0.610000
"<{117},{144}>",41,0.410000
"<{117},{245}>",76,0.760000
"<{117},{246}>",36,0.360000
"<{117},{253}>",71,0.710000
"<{118},{132}>",36,0.360000
"<{118},{143}>",38,0.380000
"<{118},{245}>",51,0.510000
"<{118},{253}>",46,0.460000
"<{12},{245}>",36,0.360000
"<{12},{253}>",41,0.410000
"<{13},{143}>",31,0.310000
"<{13},{17}>",30,0.300000
"<{13},{18}>",32,0.320000
"<{13},{245}>",49,0.490000
"<{13},{253}>",50,0.500000
"<{13},{27}>",31,0.310000
"<{132},{133}>",46,0.460000
"<{132},{143}>",54,0.540000
"<{132},{144}>",38,0.380000
"<{132},{245}>",70,0.700000
"<{132},{246}>",36,0.360000
"<{132},{253}>",68,0.680000
"<{133},{143}>",43,0.430000
"<{133},{245}>",59,0.590000
"<{133},{246}>",36,0.360000
"<{133},{253}>",55,0.550000
"<{139},{143}>",30,0.300000
"<{139},{245}>",33,0.330000
"<{139},{253}>",30,0.300000
"<{14},{117}>",31,0.310000
"<{14},{143}>",34,0.340000
"<{14},{245}>",48,0.480000
"<{14},{253}>",52,0.520000
"<{14},{27}>",32,0.320000
"<{141},{245}>",30,0.300000
"<{143},{144}>",40,0.400000
"<{143},{245}>",72,0.720000
"<{143},{246}>",34,0.340000
"<{143},{253}>",68,0.680000
"<{144},{245}>",53,0.530000
"<{144},{253}>",47,0.470000
"<{15},{143}>",31,0.310000
"<{15},{245}>",44,0.440000
"<{15},{253}>",51,0.510000
"<{16},{245}>",34,0.340000
"<{16},{253}>",39,0.390000
"<{17},{1}>",32,0.320000
"<{17},{110}>",33,0.330000
"<{17},{113}>",39,0.390000
"<{17},{114}>",42,0.420000
"<{17},{117}>",66,0.660000
"<{17},{118}>",46,0.460000
"<{17},{132}>",60,0.600000
"<{17},{133}>",48,0.480000
"<{17},{139}>",30,0.300000
"<{17},{14}>",30,0.300000
"<{17},{143}>",63,0.630000
"<{17},{144}>",46,0.460000
"<{17},{15}>",30,0.300000
"<{17},{18}>",72,0.720000
"<{17},{19}>",37,0.370000
"<{17},{20}>",34,0.340000
"<{17},{21}>",34,0.340000
"<{17},{22}>",57,0.570000
"<{17},{23}>",60,0.600000
"<{17},{24}>",30,0.300000
"<{17},{245}>",89,0.890000
"<{17},{246}>",44,0.440000
"<{17},{25}>",30,0.300000
"<{17},{253}>",82,0.820000
"<{17},{26}>",64,0.640000
"<{17},{27}>",66,0.660000
"<{17},{28}>",33,0.330000
"<{17},{29}>",30,0.300000
"<{17},{30}>",31,0.310000
"<{17},{31}>",31,0.310000
"<{17},{33}>",33,0.330000
"<{17},{35}>",51,0.510000
"<{17},{36}>",30,0.300000
"<{17},{37}>",37,0.370000
"<{17},{38}>",30,0.300000
"<{17},{39}>",32,0.320000
"<{17},{40}>",33,0.330000
"<{17},{41}>",43,0.430000
"<{17},{46}>",43,0.430000
"<{17},{49}>",30,0.300000
"<{18},{110}>",34,0.340000
"<{18},{113}>",37,0.370000
"<{18},{114}>",40,0.400000
"<{18},{117}>",64,0.640000
"<{18},{118}>",46,0.460000
"<{18},{132}>",57,0.570000
"<{18},{133}>",45,0.450000
"<{18},{139}>",31,0.310000
"<{18},{143}>",62,0.620000
"<{18},{144}>",45,0.450000
"<{18},{19}>",34,0.340000
"<{18},{21}>",34,0.340000
"<{18},{22}>",57,0.570000
"<{18},{23}>",55,0.550000
"<{18},{245}>",85,0.850000
"<{18},{246}>",43,0.430000
"<{18},{253}>",80,0.800000
"<{18},{26}>",58,0.580000
"<{18},{27}>",60,0.600000
"<{18},{28}>",31,0.310000
"<{18},{35}>",46,0.460000
"<{18},{37}>",31,0.310000
"<{18},{39}>",32,0.320000
"<{18},{41}>",39,0.390000
"<{18},{44}>",30,0.300000
"<{18},{46}>",36,0.360000
"<{19},{117}>",31,0.310000
"<{19},{132}>",34,0.340000
"<{19},{143}>",36,0.360000
"<{19},{245}>",48,0.480000
"<{19},{253}>",48,0.480000
"<{19},{26}>",31,0.310000
"<{2},{117}>",38,0.380000
"<{2},{132}>",34,0.340000
"<{2},{143}>",35,0.350000
"<{2},{17}>",33,0.330000
"<{2},{18}>",33,0.330000
"<{2},{23}>",33,0.330000
"<{2},{245}>",48,0.480000
"<{2},{253}>",43,0.430000
"<{2},{26}>",35,0.350000
"<{2},{27}>",39,0.390000
"<{2},{8}>",34,0.340000
"<{2},{9}>",31,0.310000
"<{20},{117}>",30,0.300000
"<{20},{143}>",32,0.320000
"<{20},{245}>",46,0.460000
"<{20},{253}>",46,0.460000
"<{20},{27}>",31,0.310000
"<{21},{245}>",34,0.340000
"<{21},{253}>",36,0.360000
"<{22},{113}>",34,0.340000
"<{22},{114}>",34,0.340000
"<{22},{117}>",54,0.540000
"<{22},{118}>",38,0.380000
"<{22},{132}>",52,0.520000
"<{22},{133}>",46,0.460000
"<{22},{143}>",52,0.520000
"<{22},{144}>",37,0.370000
"<{22},{23}>",47,0.470000
"<{22},{245}>",75,0.750000
"<{22},{246}>",38,0.380000
"<{22},{253}>",72,0.720000
"<{22},{26}>",50,0.500000
"<{22},{27}>",50,0.500000
"<{22},{35}>",36,0.360000
"<{22},{41}>",30,0.300000
"<{22},{46}>",32,0.320000
"<{23},{114}>",32,0.320000
"<{23},{117}>",53,0.530000
"<{23},{118}>",37,0.370000
"<{23},{132}>",47,0.470000
"<{23},{133}>",40,0.400000
"<{23},{143}>",52,0.520000
"<{23},{144}>",39,0.390000
"<{23},{245}>",71,0.710000
"<{23},{246}>",32,0.320000
"<{23},{253}>",66,0.660000
"<{23},{26}>",46,0.460000
"<{23},{27}>",50,0.500000
"<{23},{29}>",30,0.300000
"<{23},{35}>",37,0.370000
"<{23},{41}>",34,0.340000
"<{23},{46}>",30,0.300000
"<{24},{245}>",34,0.340000
"<{24},{253}>",38,0.380000
"<{245},{246}>",51,0.510000
"<{245},{253}>",93,0.930000
"<{246},{253}>",46,0.460000
"<{26},{110}>",30,0.300000
"<{26},{113}>",37,0.370000
"<{26},{114}>",43,0.430000
"<{26},{117}>",65,0.650000
"<{26},{118}>",43,0.430000
"<{26},{132}>",60,0.600000
"<{26},{133}>",50,0.500000
"<{26},{143}>",61,0.610000
"<{26},{144}>",46,0.460000
"<{26},{21}>",36,0.360000
"<{26},{245}>",82,0.820000
"<{26},{246}>",45,0.450000
"<{26},{253}>",78,0.780000
"<{26},{27}>",64,0.640000
"<{26},{30}>",30,0.300000
"<{26},{33}>",30,0.300000
"<{26},{35}>",45,0.450000
"<{26},{36}>",30,0.300000
"<{26},{37}>",30,0.300000
"<{26},{39}>",30,0.300000
"<{26},{41}>",39,0.390000
"<{26},{46}>",33,0.330000
"<{27},{110}>",32,0.320000
"<{27},{113}>",32,0.320000
"<{27},{114}>",39,0.390000
"<{27},{117}>",62,0.620000
"<{27},{118}>",42,0.420000
"<{27},{132}>",57,0.570000
"<{27},{133}>",48,0.480000
"<{27},{139}>",30,0.300000
"<{27},{143}>",60,0.600000
"<{27},{144}>",48,0.480000
"<{27},{21}>",32,0.320000
"<{27},{245}>",84,0.840000
"<{27},{246}>",44,0.440000
"<{27},{253}>",84,0.840000
"<{27},{28}>",34,0.340000
"<{27},{32}>",31,0.310000
"<{27},{33}>",32,0.320000
"<{27},{35}>",46,0.460000
"<{27},{36}>",30,0.300000
"<{27},{39}>",31,0.310000
"<{27},{41}>",36,0.360000
"<{27},{46}>",31,0.310000
"<{28},{245}>",39,0.390000
"<{28},{253}>",38,0.380000
"<{29},{245}>",34,0.340000
"<{29},{253}>",39,0.390000
"<{30},{253}>",33,0.330000
"<{31},{245}>",35,0.350000
"<{31},{253}>",36,0.360000
"<{32},{143}>",31,0.310000
"<{32},{245}>",42,0.420000
"<{32},{253}>",43,0.430000
"<{33},{245}>",39,0.390000
"<{33},{253}>",43,0.430000
"<{34},{245}>",32,0.320000
"<{34},{253}>",33,0.330000
"<{35},{117}>",39,0.390000
"<{35},{132}>",34,0.340000
"<{35},{143}>",40,0.400000
"<{35},{144}>",31,0.310000
"<{35},{245}>",54,0.540000
"<{35},{253}>",57,0.570000
"<{36},{117}>",31,0.310000
"<{36},{143}>",32,0.320000
"<{36},{245}>",44,0.440000
"<{36},{253}>",43,0.430000
"<{37},{245}>",39,0.390000
"<{37},{253}>",45,0.450000
"<{38},{245}>",32,0.320000
"<{38},{253}>",35,0.350000
"<{39},{245}>",38,0.380000
"<{39},{253}>",41,0.410000
"<{4},{117}>",40,0.400000
"<{4},{132}>",37,0.370000
"<{4},{133}>",33,0.330000
"<{4},{143}>",41,0.410000
"<{4},{17}>",36,0.360000
"<{4},{18}>",34,0.340000
"<{4},{22}>",34,0.340000
"<{4},{23}>",37,0.370000
"<{4},{245}>",57,0.570000
"<{4},{253}>",57,0.570000
"<{4},{26}>",35,0.350000
"<{4},{27}>",41,0.410000
"<{4},{35}>",30,0.300000
"<{4},{46}>",33,0.330000
"<{4},{8}>",37,0.370000
"<{4},{9}>",37,0.370000
"<{40},{253}>",33,0.330000
"<{41},{117}>",30,0.300000
"<{41},{132}>",34,0.340000
"<{41},{143}>",35,0.350000
"<{41},{245}>",47,0.470000
"<{41},{253}>",54,0.540000
"<{44},{245}>",38,0.380000
"<{44},{253}>",42,0.420000
"<{46},{117}>",32,0.320000
"<{46},{132}>",35,0.350000
"<{46},{133}>",33,0.330000
"<{46},{143}>",32,0.320000
"<{46},{245}>",48,0.480000
"<{46},{253}>",50,0.500000
"<{47},{245}>",35,0.350000
"<{47},{253}>",34,0.340000
"<{48},{245}>",35,0.350000
"<{48},{253}>",38,0.380000
"<{5},{132}>",30,0.300000
"<{5},{143}>",30,0.300000
"<{5},{245}>",41,0.410000
"<{5},{253}>",45,0.450000
"<{50},{245}>",33,0.330000
"<{50},{253}>",32,0.320000
"<{53},{113}>",36,0.360000
"<{53},{117}>",40,0.400000
"<{53},{118}>",30,0.300000
"<{53},{132}>",42,0.420000
"<{53},{133}>",40,0.400000
"<{53},{143}>",38,0.380000
"<{53},{245}>",52,0.520000
"<{53},{253}>",49,0.490000
"<{55},{253}>",30,0.300000
"<{56},{253}>",32,0.320000
"<{60},{245}>",35,0.350000
"<{60},{253}>",34,0.340000
"<{65},{253}>",30,0.300000
"<{7},{245}>",32,0.320000
"<{7},{253}>",31,0.310000
"<{78},{245}>",33,0.330000
"<{78},{253}>",31,0.310000
"<{8},{1}>",42,0.420000
"<{8},{10}>",50,0.500000
"<{8},{11}>",49,0.490000
"<{8},{113}>",40,0.400000
"<{8},{114}>",40,0.400000
"<{8},{117}>",65,0.650000
"<{8},{118}>",43,0.430000
"<{8},{12}>",36,0.360000
"<{8},{13}>",35,0.350000
"<{8},{132}>",60,0.600000
"<{8},{133}>",47,0.470000
"<{8},{14}>",39,0.390000
"<{8},{143}>",60,0.600000
"<{8},{144}>",47,0.470000
"<{8},{15}>",39,0.390000
"<{8},{16}>",32,0.320000
"<{8},{17}>",69,0.690000
"<{8},{18}>",66,0.660000
"<{8},{19}>",37,0.370000
"<{8},{20}>",36,0.360000
"<{8},{21}>",39,0.390000
"<{8},{22}>",60,0.600000
"<{8},{23}>",64,0.640000
"<{8},{24}>",36,0.360000
"<{8},{245}>",85,0.850000
"<{8},{246}>",41,0.410000
"<{8},{253}>",81,0.810000
"<{8},{26}>",67,0.670000
"<{8},{27}>",69,0.690000
"<{8},{28}>",43,0.430000
"<{8},{29}>",35,0.350000
"<{8},{30}>",35,0.350000
"<{8},{31}>",33,0.330000
"<{8},{32}>",47,0.470000
"<{8},{33}>",34,0.340000
"<{8},{34}>",30,0.300000
"<{8},{35}>",53,0.530000
"<{8},{36}>",37,0.370000
"<{8},{37}>",41,0.410000
"<{8},{38}>",36,0.360000
"<{8},{39}>",38,0.380000
"<{8},{40}>",32,0.320000
"<{8},{41}>",42,0.420000
"<{8},{42}>",30,0.300000
"<{8},{44}>",33,0.330000
"<{8},{46}>",45,0.450000
"<{8},{48}>",30,0.300000
"<{8},{53}>",41,0.410000
"<{8},{9}>",66,0.660000
"<{9},{10}>",41,0.410000
"<{9},{11}>",47,0.470000
"<{9},{113}>",34,0.340000
"<{9},{114}>",39,0.390000
"<{9},{117}>",58,0.580000
"<{9},{118}>",41,0.410000
"<{9},{132}>",54,0.540000
"<{9},{133}>",44,0.440000
"<{9},{14}>",32,0.320000
"<{9},{143}>",52,0.520000
"<{9},{144}>",40,0.400000
"<{9},{15}>",30,0.300000
"<{9},{17}>",54,0.540000
"<{9},{18}>",56,0.560000
"<{9},{19}>",30,0.300000
"<{9},{20}>",32,0.320000
"<{9},{22}>",49,0.490000
"<{9},{23}>",53,0.530000
"<{9},{245}>",75,0.750000
"<{9},{246}>",40,0.400000
"<{9},{253}>",72,0.720000
"<{9},{26}>",55,0.550000
"<{9},{27}>",59,0.590000
"<{9},{28}>",38,0.380000
"<{9},{31}>",30,0.300000
"<{9},{32}>",37,0.370000
"<{9},{35}>",46,0.460000
"<{9},{37}>",36,0.360000
"<{9},{38}>",30,0.300000
"<{9},{39}>",35,0.350000
"<{9},{41}>",35,0.350000
"<{9},{46}>",43,0.430000
"<{9},{47}>",30,0.300000
"<{9},{53}>",36,0.360000
